Date	Open	High	Low	Close*	Adj Close**	Volume
Jan 18, 2018	1,550.75	1,552.55	1,545.52	1,548.21	1,548.21	-
Jan 17, 2018	1,537.18	1,553.39	1,537.18	1,550.92	1,550.92	-
Jan 16, 2018	1,543.11	1,554.02	1,532.66	1,536.68	1,536.68	-
Jan 12, 2018	1,533.41	1,543.61	1,533.41	1,542.77	1,542.77	-
Jan 11, 2018	1,521.96	1,533.06	1,521.96	1,533.06	1,533.06	-
Jan 10, 2018	1,523.05	1,523.08	1,515.20	1,521.61	1,521.61	-
Jan 09, 2018	1,522.03	1,527.92	1,522.03	1,523.57	1,523.57	-
Jan 08, 2018	1,518.85	1,522.23	1,515.95	1,521.84	1,521.84	-
Jan 05, 2018	1,509.01	1,519.07	1,509.01	1,518.97	1,518.97	-
Jan 04, 2018	1,503.39	1,511.66	1,503.39	1,508.82	1,508.82	-
Jan 03, 2018	1,493.72	1,503.81	1,493.72	1,503.17	1,503.17	-
Jan 02, 2018	1,482.32	1,493.99	1,482.32	1,493.93	1,493.93	-
Dec 29, 2017	1,489.60	1,492.05	1,481.81	1,481.81	1,481.81	-
Dec 28, 2017	1,486.84	1,489.62	1,486.48	1,489.53	1,489.53	-
Dec 27, 2017	1,485.50	1,488.32	1,484.71	1,486.59	1,486.59	-
Dec 26, 2017	1,486.54	1,486.59	1,484.11	1,485.40	1,485.40	-
Dec 22, 2017	1,487.29	1,487.78	1,483.91	1,486.77	1,486.77	-
Dec 21, 2017	1,484.24	1,491.35	1,484.24	1,487.23	1,487.23	-
Dec 20, 2017	1,485.86	1,490.30	1,482.30	1,484.13	1,484.13	-
Dec 19, 2017	1,490.21	1,492.09	1,484.89	1,485.15	1,485.15	-
Dec 18, 2017	1,481.63	1,492.35	1,481.63	1,490.06	1,490.06	-
Dec 15, 2017	1,469.71	1,483.78	1,469.71	1,481.51	1,481.51	-
Dec 14, 2017	1,474.70	1,477.50	1,468.35	1,468.35	1,468.35	-
Dec 13, 2017	1,475.46	1,479.78	1,474.63	1,474.63	1,474.63	-
Dec 12, 2017	1,473.93	1,478.59	1,473.60	1,475.38	1,475.38	-
Dec 11, 2017	1,469.35	1,473.82	1,469.35	1,473.69	1,473.69	-
Dec 08, 2017	1,461.81	1,469.43	1,461.81	1,469.31	1,469.31	-
Dec 07, 2017	1,456.31	1,463.32	1,455.05	1,461.30	1,461.30	-
Dec 06, 2017	1,456.81	1,458.98	1,454.27	1,456.31	1,456.31	-
Dec 05, 2017	1,462.80	1,467.56	1,456.08	1,456.99	1,456.99	-
Dec 04, 2017	1,465.09	1,477.50	1,462.61	1,462.75	1,462.75	-
Dec 01, 2017	1,467.40	1,468.99	1,444.43	1,464.59	1,464.59	-
Nov 30, 2017	1,455.95	1,472.89	1,455.95	1,467.42	1,467.42	-
Nov 29, 2017	1,456.57	1,461.01	1,452.63	1,455.90	1,455.90	-
Nov 28, 2017	1,442.94	1,456.84	1,442.94	1,456.56	1,456.56	-
Nov 27, 2017	1,443.62	1,445.49	1,441.34	1,442.57	1,442.57	-
Nov 24, 2017	1,440.98	1,444.47	1,440.98	1,443.59	1,443.59	-
Nov 22, 2017	1,441.71	1,442.82	1,439.77	1,440.68	1,440.68	-
Nov 21, 2017	1,432.13	1,442.48	1,432.13	1,441.63	1,441.63	-
Nov 20, 2017	1,430.12	1,433.36	1,429.78	1,432.11	1,432.11	-
Nov 17, 2017	1,432.58	1,432.58	1,429.44	1,430.05	1,430.05	-
Nov 16, 2017	1,421.94	1,435.19	1,421.94	1,432.75	1,432.75	-
Nov 15, 2017	1,428.54	1,428.54	1,416.64	1,420.93	1,420.93	-
Nov 14, 2017	1,431.54	1,431.54	1,422.50	1,428.64	1,428.64	-
Nov 13, 2017	1,430.24	1,433.45	1,426.33	1,431.97	1,431.97	-
Nov 10, 2017	1,431.44	1,431.44	1,427.05	1,430.57	1,430.57	-
Nov 09, 2017	1,436.84	1,436.84	1,421.75	1,431.52	1,431.52	-
Nov 08, 2017	1,434.90	1,437.73	1,432.10	1,437.12	1,437.12	-
Nov 07, 2017	1,436.01	1,439.02	1,431.69	1,434.98	1,434.98	-
Nov 06, 2017	1,433.93	1,437.19	1,432.87	1,436.01	1,436.01	-
Nov 03, 2017	1,429.22	1,434.03	1,427.71	1,433.88	1,433.88	-
Nov 02, 2017	1,429.16	1,430.06	1,422.49	1,429.34	1,429.34	-
Nov 01, 2017	1,428.28	1,434.78	1,426.78	1,429.22	1,429.22	-
Oct 31, 2017	1,425.51	1,429.03	1,425.37	1,427.43	1,427.43	-
Oct 30, 2017	1,430.24	1,430.24	1,423.12	1,425.44	1,425.44	-
Oct 27, 2017	1,419.60	1,431.06	1,419.60	1,430.34	1,430.34	-
Oct 26, 2017	1,416.55	1,422.41	1,416.55	1,419.25	1,419.25	-
Oct 25, 2017	1,423.98	1,423.98	1,409.55	1,416.94	1,416.94	-
Oct 24, 2017	1,421.89	1,425.59	1,421.89	1,423.93	1,423.93	-
Oct 23, 2017	1,427.91	1,429.08	1,421.30	1,421.64	1,421.64	-
Oct 20, 2017	1,420.34	1,427.73	1,420.34	1,427.61	1,427.61	-
Oct 19, 2017	1,418.03	1,420.33	1,412.07	1,420.23	1,420.23	-
Oct 18, 2017	1,418.79	1,421.43	1,418.79	1,419.77	1,419.77	-
Oct 17, 2017	1,417.93	1,418.88	1,416.43	1,418.71	1,418.71	-
Oct 16, 2017	1,415.62	1,419.03	1,415.43	1,417.95	1,417.95	-
Oct 13, 2017	1,414.80	1,418.25	1,414.80	1,415.67	1,415.67	-
Oct 12, 2017	1,416.41	1,416.91	1,413.23	1,414.56	1,414.56	-
Oct 11, 2017	1,414.29	1,416.75	1,412.91	1,416.75	1,416.75	-
Oct 10, 2017	1,411.19	1,417.07	1,411.19	1,414.31	1,414.31	-
Oct 09, 2017	1,413.94	1,415.22	1,409.53	1,411.14	1,411.14	-
Oct 06, 2017	1,414.49	1,414.49	1,410.90	1,413.85	1,413.85	-
Oct 05, 2017	1,407.88	1,415.55	1,407.88	1,415.35	1,415.35	-
Oct 04, 2017	1,405.82	1,409.20	1,404.34	1,407.72	1,407.72	-
Oct 03, 2017	1,402.67	1,406.17	1,402.56	1,405.94	1,405.94	-
Oct 02, 2017	1,397.18	1,402.75	1,397.18	1,402.72	1,402.72	-
Sep 29, 2017	1,391.95	1,396.90	1,390.96	1,396.90	1,396.90	-
Sep 28, 2017	1,389.79	1,392.13	1,387.63	1,391.90	1,391.90	-
Sep 27, 2017	1,384.53	1,392.78	1,383.98	1,390.22	1,390.22	-
Sep 26, 2017	1,384.55	1,388.01	1,383.63	1,384.42	1,384.42	-
Sep 25, 2017	1,387.21	1,387.69	1,379.89	1,384.38	1,384.38	-
Sep 22, 2017	1,385.98	1,387.98	1,384.38	1,387.33	1,387.33	-
Sep 21, 2017	1,390.31	1,390.31	1,385.50	1,386.24	1,386.24	-
Sep 20, 2017	1,389.20	1,390.61	1,384.28	1,390.43	1,390.43	-
Sep 19, 2017	1,387.88	1,389.79	1,387.39	1,389.11	1,389.11	-
Sep 18, 2017	1,385.24	1,390.07	1,385.24	1,387.78	1,387.78	-
Sep 15, 2017	1,382.50	1,385.24	1,381.18	1,385.22	1,385.22	-
Sep 14, 2017	1,383.50	1,384.00	1,380.12	1,382.53	1,382.53	-
Sep 13, 2017	1,383.21	1,384.02	1,381.09	1,384.01	1,384.01	-
Sep 12, 2017	1,378.98	1,383.32	1,378.98	1,383.25	1,383.25	-
Sep 11, 2017	1,363.90	1,378.78	1,363.90	1,378.37	1,378.37	-
